"","GII.Rank","Country","GenIneq","Matmort","AdolBR","ParlPres","SecEduFem","SecEduMal","LabFFem","LabFMal","edu2Ratio","labRatio","HDI.Rank","HumDevIn","LifeExp","ExpEdu","MeanEdu","GNI","GNIRank"
"66",66,"Serbia",0.176,16,16.9,34,58.4,73.6,44.5,60.9,1.26027397260274,0.730706075533662,66,0.771,74.9,14.4,10.5,"12,190",20
"67",67,"Cuba",0.356,80,43.1,48.9,74.3,78.8,43.4,70,1.06056527590848,0.62,67,0.769,79.4,13.8,11.5,"7,301",47
"68",67,"Lebanon",0.385,16,12,3.1,53,55.4,23.3,70.9,1.04528301886792,0.328631875881523,67,0.769,79.3,13.8,7.9,"16,509",-1
"69",69,"Costa Rica",0.349,38,60.8,33.3,50.7,50.5,46.6,79,0.996055226824458,0.589873417721519,69,0.766,79.4,13.9,8.4,"13,413",10
"70",69,"Iran (Islamic Republic of)",0.515,23,31.6,3.1,62.2,67.6,16.6,73.6,1.08681672025723,0.22554347826087,69,0.766,75.4,15.1,8.2,"15,440",4
"71",71,"Venezuela (Bolivarian Republic of)",0.476,110,83.2,17,56.6,50.8,51.1,79.2,0.897526501766784,0.64520202020202,71,0.762,74.2,14.2,8.9,"16,159",-2
"72",72,"Turkey",0.359,20,30.9,14.4,39,60,29.4,70.8,1.53846153846154,0.415254237288136,72,0.761,75.3,14.5,7.6,"18,677",-12
"73",73,"Sri Lanka",0.37,29,16.9,5.8,72.7,76.4,35.1,76.3,1.05089408528198,0.46002621231979,73,0.757,74.9,13.7,10.8,"9,779",29
"74",74,"Mexico",0.373,49,63.4,37.1,55.7,60.6,45.1,79.9,1.08797127468582,0.564455569461827,74,0.756,76.8,13.1,8.5,"16,056",-4
"75",75,"Brazil",0.457,69,70.8,9.6,54.6,52.4,59.4,80.8,0.95970695970696,0.735148514851485,75,0.755,74.5,15.2,7.7,"15,175",-1
"76",76,"Georgia",0.382,41,46.8,11.3,89.7,92.7,56.5,75.1,1.03344481605351,0.752330226364847,76,0.754,74.9,13.8,12.1,"7,164",40
"77",77,"Saint Kitts and Nevis",NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,77,0.752,73.8,12.9,8.4,"20,805",-21
